pipeline,topology_model,held_out_sample,accuracy,balanced_accuracy,macro_f1,brier,count
A_raw,random_forest,129,0.5388888888888889,0.5253587333003463,0.483384626024413,0.300781975308642,180
A_raw,hist_gradient_boosting,129,0.49444444444444446,0.4793419099455715,0.4186335403726708,0.4498432772909805,180
A_raw,random_forest,140,0.7846153846153846,0.7799908119563124,0.7801633676073139,0.1979215811965812,520
A_raw,hist_gradient_boosting,140,0.7769230769230769,0.7732627928688925,0.773706088026531,0.1977900616023116,520
A_raw,random_forest,150,0.7112068965517241,0.7183333333333333,0.7105562072882334,0.18072116858237547,464
A_raw,hist_gradient_boosting,150,0.6788793103448276,0.6826515151515151,0.6774395222432174,0.27691076501310835,464
A_raw,random_forest,157,0.3840985442329227,0.45653071227717157,0.38175332064489487,0.3914890008709717,893
A_raw,hist_gradient_boosting,157,0.42889137737961924,0.453031886076929,0.413426169206516,0.5168414202948434,893
A_raw,random_forest,159,0.667713567839196,0.6003668327796234,0.6024582251365275,0.18178029731993298,1592
A_raw,hist_gradient_boosting,159,0.6557788944723618,0.6368978405315615,0.6323356624495335,0.27785902747059565,1592
A_raw,random_forest,181,0.8376470588235294,0.6266854553492485,0.6188638047334971,0.10653794335511985,1275
A_raw,hist_gradient_boosting,181,0.8611764705882353,0.5490439876215738,0.5579238729923661,0.10911487441837465,1275
B_manual_range,random_forest,129,0.6333333333333333,0.6217219198416626,0.5999461206896552,0.2745908024691358,180
B_manual_range,hist_gradient_boosting,129,0.6222222222222222,0.6061355764473033,0.5549090909090909,0.2931852831151278,180
B_manual_range,random_forest,140,0.7807692307692308,0.7754857066642955,0.7751786283165703,0.1765696153846154,520
B_manual_range,hist_gradient_boosting,140,0.7538461538461538,0.7486773662917352,0.7478787878787878,0.22118826460884905,520
B_manual_range,random_forest,150,0.6185344827586207,0.6393181818181819,0.6170385395537525,0.23561637931034485,464
B_manual_range,hist_gradient_boosting,150,0.5323275862068966,0.5659848484848485,0.5190837142434099,0.41434484639831387,464
B_manual_range,random_forest,157,0.3012318029115342,0.443657611639966,0.2951426836672738,0.48987929575712325,893
B_manual_range,hist_gradient_boosting,157,0.341545352743561,0.494134225937105,0.3360829852014444,0.6134214428702041,893
B_manual_range,random_forest,159,0.7858040201005025,0.7437223145071983,0.7534120511370476,0.1414734715242881,1592
B_manual_range,hist_gradient_boosting,159,0.785175879396985,0.7371124031007752,0.7487740099334265,0.18416295862179127,1592
B_manual_range,random_forest,181,0.8580392156862745,0.7836262157382847,0.7195278612654942,0.10540248366013073,1275
B_manual_range,hist_gradient_boosting,181,0.923921568627451,0.8116710875331565,0.8107292452584749,0.05747823989670151,1275
C_ml_range_random_forest,random_forest,129,0.43333333333333335,0.42825333993072734,0.4230769230769231,0.33407870370370374,180
C_ml_range_random_forest,hist_gradient_boosting,129,0.5166666666666667,0.5105145967342899,0.5037865585094585,0.35686017441988155,180
C_ml_range_random_forest,random_forest,140,0.7961538461538461,0.790082840587442,0.789566917109523,0.17559264957264958,520
C_ml_range_random_forest,hist_gradient_boosting,140,0.7923076923076923,0.7860667763304139,0.785291553883562,0.19162593801038147,520
C_ml_range_random_forest,random_forest,150,0.5948275862068966,0.6233333333333333,0.588838612368024,0.26078920019157087,464
C_ml_range_random_forest,hist_gradient_boosting,150,0.6206896551724138,0.646060606060606,0.6172478440194975,0.27678540011757663,464
C_ml_range_random_forest,random_forest,157,0.3896976483762598,0.4616934963754096,0.3871122109094115,0.5139994898594002,893
C_ml_range_random_forest,hist_gradient_boosting,157,0.406494960806271,0.5233405567164564,0.40649421655079704,0.551051229223131,893
C_ml_range_random_forest,random_forest,159,0.7744974874371859,0.7513358250276856,0.7520510641325489,0.16478675321049696,1592
C_ml_range_random_forest,hist_gradient_boosting,159,0.7669597989949749,0.7279623477297896,0.7349827586593708,0.18771089331417265,1592
C_ml_range_random_forest,random_forest,181,0.8094117647058824,0.6410716917182434,0.6115168803485784,0.1337049586056645,1275
C_ml_range_random_forest,hist_gradient_boosting,181,0.8219607843137255,0.6117834512231064,0.5997579948141746,0.13274953896872924,1275
C_ml_range_hist_gradient_boosting,random_forest,129,0.6388888888888888,0.6319891142998516,0.6263294050014372,0.2212411111111111,180
C_ml_range_hist_gradient_boosting,hist_gradient_boosting,129,0.75,0.7472785749628896,0.7477499922145059,0.20393437100936032,180
C_ml_range_hist_gradient_boosting,random_forest,140,0.7884615384615384,0.7825397531083744,0.7819290888295845,0.16503805555555556,520
C_ml_range_hist_gradient_boosting,hist_gradient_boosting,140,0.7980769230769231,0.7916018316809674,0.7907973838178328,0.19419742096587486,520
C_ml_range_hist_gradient_boosting,random_forest,150,0.6012931034482759,0.603560606060606,0.5995054470805048,0.2546693247126437,464
C_ml_range_hist_gradient_boosting,hist_gradient_boosting,150,0.6831896551724138,0.6991666666666667,0.6830704179541389,0.2635492903140938,464
C_ml_range_hist_gradient_boosting,random_forest,157,0.36954087346024633,0.45885573871991336,0.3690851616255037,0.5047930944382232,893
C_ml_range_hist_gradient_boosting,hist_gradient_boosting,157,0.3493840985442329,0.48317016226814224,0.3473380053311596,0.5997041619809084,893
C_ml_range_hist_gradient_boosting,random_forest,159,0.8021356783919598,0.7742870985603544,0.7790096151176672,0.1428431323283082,1592
C_ml_range_hist_gradient_boosting,hist_gradient_boosting,159,0.753140703517588,0.7050526024363233,0.7136825611401882,0.19234320160833485,1592
C_ml_range_hist_gradient_boosting,random_forest,181,0.8180392156862745,0.700477085175361,0.6488603988603989,0.13160430501089324,1275
C_ml_range_hist_gradient_boosting,hist_gradient_boosting,181,0.8141176470588235,0.6740255673445329,0.6327519509387962,0.14429328624748877,1275
