source_file,cycle,circuit,potential_V,current_mA,included_points,R0,L0,R1,CPE1_0,CPE1_1,R2,CPE2_0,CPE2_1
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,1,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.3603829696969696,4.971986381507051,21,0.023289975558688808,8.613603851388507e-08,0.01808346831802403,0.06167849300539958,0.7600322053211792,999999.9999999999,0.16375249829385993,0.9472656236910912
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,2,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.3986578787878787,5.20747192649518,28,0.022418969105307433,8.491929675860374e-08,0.023282834230293023,0.28901394366578875,0.5894355686350996,5.831497715489416,0.1482439723554297,0.9792810995149647
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,3,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4179698272727275,11.117688225179469,27,0.024889982479135153,7.622175552241915e-08,0.013589486677220217,0.015559353240871626,0.9337955443861287,1.666010886458604,0.16154960779119906,0.9503878785994662
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,4,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.430082618181818,17.898231507066043,27,0.02431108803557363,7.986452130105476e-08,0.01651599874303327,0.046919947483982725,0.8028408996219953,0.8869607346217125,0.15936206138523715,0.9507288293644345
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,5,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4407232151515152,32.78535231076796,28,0.01959988430508123,8.975076523264562e-08,0.030649336996910175,1.0098802437209062,0.4248782127170642,0.4712182315094321,0.1542220693930793,0.9790331273951836
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,6,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4494095333333332,55.08959803799954,26,0.02414941382043122,7.987360191105965e-08,0.016112453502846014,0.057249766475681856,0.7822032967700778,0.2751284326332641,0.16129829231226347,0.9577297941579791
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,7,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4591117818181818,91.05545525325746,24,0.022832246554567302,8.895744084016227e-08,0.01887059083956642,0.10247022270493321,0.696851504296309,0.16432300867315458,0.1399751253992593,0.9865856964915725
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,8,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4703303151515152,142.47227144438753,27,0.02451713551358658,7.868902628759764e-08,0.013982739031516552,0.03404891006471933,0.8425720423087764,0.10926992553742375,0.16242855666505804,0.9531889229780409
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,9,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4788903333333334,211.47358050559518,25,0.024630607758328888,7.851347338983411e-08,0.013453500241506357,0.03362292833875077,0.8457901543920343,0.0755310788134238,0.15858890176523754,0.9580000545629296
PEIS_at_N2_flow_80_sccm_automated_01_PEIS.mpt,10,"R0-L0-p(R1,CPE1)-p(R2,CPE2)",1.4909949333333332,300.5996858056815,26,0.02464247802700356,7.852736065332461e-08,0.012873358856014648,0.037609041219994664,0.834850399969659,0.05335497038742033,0.15771205524456425,0.9598060862406931
